Time,Amplitude
0,0
0.001,-5.8783046359073e-15
0.002,-1.17566092718146e-14
0.003,-1.76349139077219e-14
0.004,-2.35132185436292e-14
0.005,2.74518956812715e-14
0.006,-3.52698278154438e-14
0.007,1.56952864094569e-14
0.008,-4.70264370872584e-14
0.009,1.17625514859258e-13
0.01,5.49037913625431e-14
0.011,-2.35191607577404e-13
0.012,-7.05396556308875e-14
0.013,9.41122963156292e-14
0.014,3.13905728189139e-14
0.015,-3.13311506778014e-14
0.016,-9.40528741745167e-14
0.017,-1.56774597671232e-13
0.018,2.35251029718517e-13
0.019,-2.82218044664663e-13
0.02,1.09807582725086e-13
0.021,4.70858592283708e-14
0.022,-4.70383215154809e-13
0.023,-7.83575877650598e-14
0.024,-1.41079311261775e-13
0.025,-2.0380103475849e-13
0.026,1.88224592631258e-13
0.027,-3.29244481751921e-13
0.028,6.27811456378278e-14
0.029,-4.54687928745352e-13
0.03,-6.26623013556028e-14
0.031,-5.80131375738782e-13
0.032,-1.88105748349033e-13
0.033,2.03919879040715e-13
0.034,-3.13549195342464e-13
0.035,7.84764320472847e-14
0.036,4.70502059437034e-13
0.037,-9.56461716719074e-13
0.038,-5.64436089329325e-13
0.039,-1.72410461939577e-13
0.04,2.19615165450172e-13
0.041,-2.97853908933007e-13
0.042,9.41717184567417e-14
0.043,4.86197345846491e-13
0.044,-9.40766430309617e-13
0.045,-5.48740802919868e-13
0.046,-1.5671517553012e-13
0.047,-6.74184249913299e-13
0.048,-2.8215862252355e-13
0.049,1.09867004866199e-13
0.05,-4.07602069516981e-13
0.051,-1.5576442127232e-14
0.052,3.76449185262517e-13
0.053,-1.05051459089359e-12
0.054,-6.58488963503842e-13
0.055,-1.17595803788702e-12
0.056,1.25562291275656e-13
0.057,-3.91906783107524e-13
0.058,-9.09375857490703e-13
0.059,3.92144471671974e-13
0.06,-1.25324602711206e-13
0.061,-6.42793677094385e-13
0.062,-1.16026275147756e-12
0.063,1.41257577685113e-13
0.064,-3.76211496698067e-13
0.065,-8.93680571081246e-13
0.066,4.07839758081431e-13
0.067,-1.09629316301749e-13
0.068,-6.27098390684928e-13
0.069,6.74421938477749e-13
0.07,1.56952864094569e-13
0.071,1.45847319325725e-12
0.072,9.41004118874067e-13
0.073,-1.39545435905497e-12
0.074,-1.91292343343815e-12
0.075,-6.11403104275471e-13
0.076,-1.12887217865865e-12
0.077,-1.64634125304183e-12
0.078,-3.44820923879153e-13
0.079,-8.62289998262332e-13
0.08,4.39230330900345e-13
0.081,-7.82387434828348e-14
0.082,-5.95707817866014e-13
0.083,7.05812511296663e-13
0.084,1.88343436913483e-13
0.085,-3.29125637469696e-13
0.086,9.72394691692981e-13
0.087,4.54925617309802e-13
0.088,-1.88153286061923e-12
0.089,-5.80012531456557e-13
0.09,-1.09748160583974e-12
0.091,-1.61495068022292e-12
0.092,-3.13430351060239e-13
0.093,-8.30899425443418e-13
0.094,-1.3483684998266e-12
0.095,-4.68481706639209e-14
0.096,-5.643172450471e-13
0.097,-1.08178631943028e-12
0.098,2.19734009732397e-13
0.099,-2.97735064650782e-13
0.1,-8.15204139033962e-13
0.101,4.86316190128715e-13
0.102,-3.1152884254464e-14
0.103,1.27036744490821e-12
0.104,7.52898370525034e-13
0.105,-1.583560107404e-12
0.106,-2.10102918178718e-12
0.107,-7.99508852624505e-13
0.108,-1.31697792700768e-12
0.109,-1.5457597845007e-14
0.11,-2.35191607577404e-12
0.111,-1.05039574661137e-12
0.112,2.51124582551311e-13
0.113,-2.08533389537772e-12
0.114,-7.83813566215048e-13
0.115,5.17706762947629e-13
0.116,-1.81875171498141e-12
0.117,-5.17231385818729e-13
0.118,7.84288943343947e-13
0.119,2.08580927250662e-12
0.12,-2.50649205422411e-13
0.121,-2.58710768335145e-12
0.122,-1.28558735418877e-12
0.123,1.59329749739069e-14
0.124,-2.32052550295513e-12
0.125,-1.01900517379245e-12
0.126,2.82515155370225e-13
0.127,-2.05394332255881e-12
0.128,-7.52422993396134e-13
0.129,5.49097335766543e-13
0.13,-1.78736114216249e-12
0.131,-4.85840812999816e-13
0.132,8.15679516162861e-13
0.133,-1.52077896176617e-12
0.134,-2.19258632603497e-13
0.135,1.08226169655918e-12
0.136,-1.25419678136986e-12
0.137,4.73235477928208e-14
0.138,1.3488438769555e-12
0.139,-9.87614600973538e-13
0.14,3.13905728189139e-13
0.141,1.61542605735182e-12
0.142,2.91694638651449e-12
0.143,5.80487908585457e-13
0.144,1.88200823774813e-12
